ticket,symbol,type,profit,strategy,comment,open_time,close_time
25,KO,SELL,-4.099999999999966,TB_15M_1M,TB|15M_1M|BVRT,2025-11-14 14:54:00+00:00,2025-11-14 15:12:00+00:00
32,GBPJPY,BUY,-7.2471739257050265,TB_4H_5M,TB|4H_5M|RT,2025-11-14 15:00:00+00:00,2025-11-14 15:13:00+00:00
23,HD,SELL,-22.299999999999613,TB_15M_1M,TB|15M_1M|RTCV,2025-11-14 14:53:00+00:00,2025-11-14 15:15:00+00:00
52,PG,SELL,-2.0999999999997954,FB_15M_1M,FB|15M_1M|RVDIV,2025-11-14 15:16:00+00:00,2025-11-14 15:20:00+00:00
43,JPM,BUY,13.799999999999386,FB_15M_1M,FB|15M_1M|RVDIV,2025-11-14 15:11:00+00:00,2025-11-14 15:21:00+00:00
44,COST,SELL,-25.400000000000773,FB_15M_1M,FB|15M_1M|RVDIV,2025-11-14 15:11:00+00:00,2025-11-14 15:21:00+00:00
47,JPM,SELL,-19.90000000000009,TB_15M_1M,TB|15M_1M|RT,2025-11-14 15:13:00+00:00,2025-11-14 15:21:00+00:00
57,JP225,SELL,-0.3008871317367982,TB_15M_1M,TB|15M_1M|RT,2025-11-14 15:21:00+00:00,2025-11-14 15:24:00+00:00
42,PEP,BUY,-0.30000000000001137,FB_4H_5M,FB|4H_5M|RVDIV,2025-11-14 15:10:00+00:00,2025-11-14 15:27:00+00:00
33,TMUS,BUY,4.099999999999966,FB_15M_1M,FB|15M_1M|RVDIV,2025-11-14 15:01:00+00:00,2025-11-14 15:28:00+00:00
45,USOIL,BUY,-10.799999999999699,TB_15M_1M,TB|15M_1M|BVRT,2025-11-14 15:12:00+00:00,2025-11-14 15:28:00+00:00
49,AVGO,SELL,-11.299999999999955,TB_4H_5M,TB|4H_5M|RT,2025-11-14 15:15:00+00:00,2025-11-14 15:28:00+00:00
35,WMT,SELL,0.0,FB_15M_1M,FB|15M_1M|RVDIV,2025-11-14 15:02:00+00:00,2025-11-14 15:32:00+00:00
62,EURUSD,SELL,-5.700000000001815,FB_15M_1M,FB|15M_1M|RVDIV,2025-11-14 15:27:00+00:00,2025-11-14 15:38:00+00:00
