Symbol,Strategy,Pair,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_%,Total_Profit_$,Gross_Profit_$,Gross_Loss_$,Profit_Factor,Avg_Profit_Per_Trade_$,Expectancy_$
BTCCNH,TB_15M_1M,BTCCNH_TB_15M_1M,4,2,2,50.0,-199.57443272951636,354.52203951214085,554.0964722416572,0.6398200625206718,-49.89360818237909,-49.89360818237909
BTCUSD,TB_15M_1M,BTCUSD_TB_15M_1M,4,0,4,0.0,-226.59100000000038,0.0,226.59100000000038,0.0,-56.647750000000094,-56.647750000000094
XAUUSD,FB_15M_1M,XAUUSD_FB_15M_1M,2,0,2,0.0,-249.7300000000041,0.0,249.7300000000041,0.0,-124.86500000000206,-124.86500000000206
GBPCAD,TB_15M_1M,GBPCAD_TB_15M_1M,15,1,14,6.666666666666667,-261.2310083488483,18.60843154449983,279.8394398933482,0.06649681528662234,-17.415400556589887,-17.415400556589887
BTCZAR,TB_15M_1M,BTCZAR_TB_15M_1M,2,1,1,50.0,-306.3412671540291,140.72926589790416,447.07053305193324,0.3147809025506867,-153.17063357701454,-153.17063357701454
BTCAUD,FB_4H_5M,BTCAUD_FB_4H_5M,2,0,2,0.0,-345.51602399999814,0.0,345.51602399999814,0.0,-172.75801199999907,-172.75801199999907
BTCCNH,FB_15M_1M,BTCCNH_FB_15M_1M,6,2,4,33.33333333333333,-571.6219013647033,347.59354523448405,919.2154465991873,0.3781415407241823,-95.27031689411722,-95.27031689411722
BTCCNH,FB_4H_5M,BTCCNH_FB_4H_5M,2,0,2,0.0,-662.7132941187988,0.0,662.7132941187988,0.0,-331.3566470593994,-331.3566470593994
BTCZAR,TB_4H_5M,BTCZAR_TB_4H_5M,2,0,2,0.0,-688.2079225927635,0.0,688.2079225927635,0.0,-344.1039612963817,-344.1039612963817
BTCAUD,TB_4H_5M,BTCAUD_TB_4H_5M,2,0,2,0.0,-760.3705200000096,0.0,760.3705200000096,0.0,-380.1852600000048,-380.1852600000048
BTCAUD,TB_15M_1M,BTCAUD_TB_15M_1M,6,2,4,33.33333333333333,-899.3742239999983,282.32064,1181.6948639999982,0.23891162482026362,-149.8957039999997,-149.8957039999997
BTCZAR,FB_15M_1M,BTCZAR_FB_15M_1M,2,0,2,0.0,-942.3860876562335,0.0,942.3860876562335,0.0,-471.19304382811674,-471.19304382811674
